Date,Open,High,Low,Close ,Adj Close ,Volume
13-Apr-20,164.35,165.57,162.3,165.51,159.06,"41,905,300"
9-Apr-20,166.36,167.37,163.33,165.14,158.7,"51,385,100"
8-Apr-20,165.67,166.67,163.5,165.13,158.69,"48,318,200"
7-Apr-20,169.59,170,163.26,163.49,157.12,"62,769,000"
6-Apr-20,160.32,166.5,157.58,165.27,158.83,"67,111,700"
3-Apr-20,155.1,157.38,152.19,153.83,147.83,"41,243,300"
2-Apr-20,151.86,155.48,150.36,155.26,149.21,"49,630,700"
1-Apr-20,153,157.75,150.82,152.11,146.18,"57,969,900"
31-Mar-20,159.4,164.78,156.56,157.71,151.56,"77,927,200"
30-Mar-20,152.44,160.6,150.01,160.23,153.98,"63,420,300"
27-Mar-20,151.75,154.89,149.2,149.7,143.86,"57,042,300"
26-Mar-20,148.4,156.66,148.37,156.11,150.02,"64,568,100"
25-Mar-20,148.91,154.33,144.44,146.92,141.19,"75,638,200"
24-Mar-20,143.75,149.6,141.27,148.34,142.56,"82,516,700"
23-Mar-20,137.01,140.57,132.52,135.98,130.68,"78,975,200"
20-Mar-20,146,147.1,135.86,137.35,132,"84,866,200"
19-Mar-20,142.77,150.15,139,142.71,137.15,"85,922,700"
18-Mar-20,138,146,135.02,140.4,134.93,"81,593,200"
17-Mar-20,140,147.5,135,146.57,140.86,"81,059,800"
16-Mar-20,140,149.35,135,135.42,130.14,"87,905,900"
13-Mar-20,147.5,161.91,140.73,158.83,152.64,"92,727,400"
12-Mar-20,145.3,153.47,138.58,139.06,133.64,"93,226,400"
11-Mar-20,157.13,157.7,151.15,153.63,147.64,"56,371,600"
10-Mar-20,158.16,161.03,152.58,160.92,154.65,"65,354,400"
9-Mar-20,151,157.75,150,150.62,144.75,"70,419,300"
6-Mar-20,162.61,163.11,156,161.57,155.27,"72,821,100"
5-Mar-20,166.05,170.87,165.69,166.27,159.79,"47,817,300"
4-Mar-20,168.49,170.7,165.62,170.55,163.9,"49,814,400"
3-Mar-20,173.8,175,162.26,164.51,158.1,"71,677,000"
